dataset,thread,time,output
DS1,sequential,15.91639141,Sum of Totients between 1 and 15000 is 68394315
DS1,sequential,15.93643216,Sum of Totients between 1 and 15000 is 68394315
DS1,sequential,15.88049128,Sum of Totients between 1 and 15000 is 68394315
DS1,1,16.53114744,Sum of Totients between 1 and 15000 is 68390315
DS1,1,16.22735538,Sum of Totients between 1 and 15000 is 68390315
DS1,1,16.22919778,Sum of Totients between 1 and 15000 is 68390315
DS1,2,12.44243386,Sum of Totients between 1 and 15000 is 68390315
DS1,2,12.66843604,Sum of Totients between 1 and 15000 is 68390315
DS1,2,12.43223691,Sum of Totients between 1 and 15000 is 68390315
DS1,4,7.563304996,Sum of Totients between 1 and 15000 is 68390315
DS1,4,7.478488174,Sum of Totients between 1 and 15000 is 68390315
DS1,4,7.474064053,Sum of Totients between 1 and 15000 is 68390315
DS1,8,4.147317705,Sum of Totients between 1 and 15000 is 68390315
DS1,8,4.158165566,Sum of Totients between 1 and 15000 is 68390315
DS1,8,4.138707109,Sum of Totients between 1 and 15000 is 68390315
DS1,12,2.921829704,Sum of Totients between 1 and 15000 is 68390315
DS1,12,2.887656872,Sum of Totients between 1 and 15000 is 68390315
DS1,12,2.885790439,Sum of Totients between 1 and 15000 is 68390315
DS1,16,2.20141764,Sum of Totients between 1 and 15000 is 68390315
DS1,16,2.220206708,Sum of Totients between 1 and 15000 is 68390315
DS1,16,2.20149868,Sum of Totients between 1 and 15000 is 68390315
DS1,24,1.62866499,Sum of Totients between 1 and 15000 is 68390315
DS1,24,1.640853609,Sum of Totients between 1 and 15000 is 68390315
DS1,24,1.587333494,Sum of Totients between 1 and 15000 is 68390315
DS1,32,1.270824536,Sum of Totients between 1 and 15000 is 68390315
DS1,32,1.263024081,Sum of Totients between 1 and 15000 is 68390315
DS1,32,1.278537469,Sum of Totients between 1 and 15000 is 68390315
DS1,48,0.982691948,Sum of Totients between 1 and 15000 is 68390315
DS1,48,0.987625146,Sum of Totients between 1 and 15000 is 68390315
DS1,48,0.982489534,Sum of Totients between 1 and 15000 is 68390315
DS1,64,0.937499217,Sum of Totients between 1 and 15000 is 68390315
DS1,64,0.87803492,Sum of Totients between 1 and 15000 is 68390315
DS1,64,0.861878856,Sum of Totients between 1 and 15000 is 68390315
DS2,sequential,68.21682146,Sum of Totients between 1 and 30000 is 273571773
DS2,sequential,68.29952424,Sum of Totients between 1 and 30000 is 273571773
DS2,sequential,68.09656805,Sum of Totients between 1 and 30000 is 273571773
DS2,1,69.4155549,Sum of Totients between 1 and 30000 is 273563773
DS2,1,69.29401925,Sum of Totients between 1 and 30000 is 273563773
DS2,1,69.29297543,Sum of Totients between 1 and 30000 is 273563773
DS2,2,53.09565721,Sum of Totients between 1 and 30000 is 273563773
DS2,2,53.03126626,Sum of Totients between 1 and 30000 is 273563773
DS2,2,52.97686348,Sum of Totients between 1 and 30000 is 273563773
DS2,4,31.81313074,Sum of Totients between 1 and 30000 is 273563773
DS2,4,31.78971623,Sum of Totients between 1 and 30000 is 273563773
DS2,4,31.66098993,Sum of Totients between 1 and 30000 is 273563773
DS2,8,17.68170096,Sum of Totients between 1 and 30000 is 273563773
DS2,8,17.7036471,Sum of Totients between 1 and 30000 is 273563773
DS2,8,17.6832347,Sum of Totients between 1 and 30000 is 273563773
DS2,12,12.2708777,Sum of Totients between 1 and 30000 is 273563773
DS2,12,12.3113109,Sum of Totients between 1 and 30000 is 273563773
DS2,12,12.324115,Sum of Totients between 1 and 30000 is 273563773
DS2,16,9.40732294,Sum of Totients between 1 and 30000 is 273563773
DS2,16,9.377473672,Sum of Totients between 1 and 30000 is 273563773
DS2,16,9.472403391,Sum of Totients between 1 and 30000 is 273563773
DS2,24,6.704802092,Sum of Totients between 1 and 30000 is 273563773
DS2,24,6.699682833,Sum of Totients between 1 and 30000 is 273563773
DS2,24,6.676886086,Sum of Totients between 1 and 30000 is 273563773
DS2,32,5.323556811,Sum of Totients between 1 and 30000 is 273563773
DS2,32,5.296922493,Sum of Totients between 1 and 30000 is 273563773
DS2,32,5.332268127,Sum of Totients between 1 and 30000 is 273563773
DS2,48,4.31235835,Sum of Totients between 1 and 30000 is 273563773
DS2,48,4.243587349,Sum of Totients between 1 and 30000 is 273563773
DS2,48,4.303559549,Sum of Totients between 1 and 30000 is 273563773
DS2,64,3.785013524,Sum of Totients between 1 and 30000 is 273563773
DS2,64,3.821311817,Sum of Totients between 1 and 30000 is 273563773
DS2,64,3.817320189,Sum of Totients between 1 and 30000 is 273563773
DS3,8,74.89538138,Sum of Totients between 1 and 60000 is 1094261505
DS3,8,74.769657,Sum of Totients between 1 and 60000 is 1094261505
DS3,8,74.91265967,Sum of Totients between 1 and 60000 is 1094261505
DS3,16,39.90488693,Sum of Totients between 1 and 60000 is 1094261505
DS3,16,39.81902589,Sum of Totients between 1 and 60000 is 1094261505
DS3,16,39.74523851,Sum of Totients between 1 and 60000 is 1094261505
DS3,32,22.26002991,Sum of Totients between 1 and 60000 is 1094261505
DS3,32,22.33225095,Sum of Totients between 1 and 60000 is 1094261505
DS3,32,22.46804956,Sum of Totients between 1 and 60000 is 1094261505
DS3,64,15.55456542,Sum of Totients between 1 and 60000 is 1094261505
DS3,64,15.66307026,Sum of Totients between 1 and 60000 is 1094261505
DS3,64,15.64302402,Sum of Totients between 1 and 60000 is 1094261505
