dataset,thread,time,output
DS1,sequential,15.955322888,Sum of Totients between 1 and 15000 is 68394315
DS1,sequential,15.939535336,Sum of Totients between 1 and 15000 is 68394315
DS1,sequential,15.957351051,Sum of Totients between 1 and 15000 is 68394315
DS1,1,16.355375959,Sum of Totients between 1 and 15000 is 68394315
DS1,1,16.372696001,Sum of Totients between 1 and 15000 is 68394315
DS1,1,16.354559607,Sum of Totients between 1 and 15000 is 68394315
DS1,2,9.066146758,Sum of Totients between 1 and 15000 is 68394315
DS1,2,9.106941578,Sum of Totients between 1 and 15000 is 68394315
DS1,2,9.056271793,Sum of Totients between 1 and 15000 is 68394315
DS1,4,4.740579234,Sum of Totients between 1 and 15000 is 68394315
DS1,4,4.738321049,Sum of Totients between 1 and 15000 is 68394315
DS1,4,4.750675669,Sum of Totients between 1 and 15000 is 68394315
DS1,8,2.459594939,Sum of Totients between 1 and 15000 is 68394315
DS1,8,2.461241542,Sum of Totients between 1 and 15000 is 68394315
DS1,8,2.462468379,Sum of Totients between 1 and 15000 is 68394315
DS1,12,1.655105966,Sum of Totients between 1 and 15000 is 68394315
DS1,12,1.647561924,Sum of Totients between 1 and 15000 is 68394315
DS1,12,1.641362687,Sum of Totients between 1 and 15000 is 68394315
DS1,16,1.277823313,Sum of Totients between 1 and 15000 is 68394315
DS1,16,1.24139418,Sum of Totients between 1 and 15000 is 68394315
DS1,16,1.264212785,Sum of Totients between 1 and 15000 is 68394315
DS1,24,0.968288498,Sum of Totients between 1 and 15000 is 68394315
DS1,24,0.973277008,Sum of Totients between 1 and 15000 is 68394315
DS1,24,0.972844532,Sum of Totients between 1 and 15000 is 68394315
DS1,32,0.799045002,Sum of Totients between 1 and 15000 is 68394315
DS1,32,0.800529793,Sum of Totients between 1 and 15000 is 68394315
DS1,32,0.807698027,Sum of Totients between 1 and 15000 is 68394315
DS1,48,0.801695908,Sum of Totients between 1 and 15000 is 68394315
DS1,48,0.798748566,Sum of Totients between 1 and 15000 is 68394315
DS1,48,0.802813143,Sum of Totients between 1 and 15000 is 68394315
DS1,64,0.802700394,Sum of Totients between 1 and 15000 is 68394315
DS1,64,0.802327607,Sum of Totients between 1 and 15000 is 68394315
DS1,64,0.801552279,Sum of Totients between 1 and 15000 is 68394315
DS2,sequential,67.859734355,Sum of Totients between 1 and 30000 is 273571773
DS2,sequential,67.961210576,Sum of Totients between 1 and 30000 is 273571773
DS2,sequential,67.954054281,Sum of Totients between 1 and 30000 is 273571773
DS2,1,69.912270863,Sum of Totients between 1 and 30000 is 273571773
DS2,1,69.762976769,Sum of Totients between 1 and 30000 is 273571773
DS2,1,69.918605012,Sum of Totients between 1 and 30000 is 273571773
DS2,2,38.368107611,Sum of Totients between 1 and 30000 is 273571773
DS2,2,38.354777242,Sum of Totients between 1 and 30000 is 273571773
DS2,2,38.37248505,Sum of Totients between 1 and 30000 is 273571773
DS2,4,20.064803259,Sum of Totients between 1 and 30000 is 273571773
DS2,4,20.0916084,Sum of Totients between 1 and 30000 is 273571773
DS2,4,19.994704352,Sum of Totients between 1 and 30000 is 273571773
DS2,8,10.399656049,Sum of Totients between 1 and 30000 is 273571773
DS2,8,10.41666114,Sum of Totients between 1 and 30000 is 273571773
DS2,8,10.406590814,Sum of Totients between 1 and 30000 is 273571773
DS2,12,6.937385338,Sum of Totients between 1 and 30000 is 273571773
DS2,12,6.944887278,Sum of Totients between 1 and 30000 is 273571773
DS2,12,6.94167944,Sum of Totients between 1 and 30000 is 273571773
DS2,16,5.24173808,Sum of Totients between 1 and 30000 is 273571773
DS2,16,5.227035525,Sum of Totients between 1 and 30000 is 273571773
DS2,16,5.226550717,Sum of Totients between 1 and 30000 is 273571773
DS2,24,4.099570338,Sum of Totients between 1 and 30000 is 273571773
DS2,24,4.091494332,Sum of Totients between 1 and 30000 is 273571773
DS2,24,4.097903546,Sum of Totients between 1 and 30000 is 273571773
DS2,32,3.377143371,Sum of Totients between 1 and 30000 is 273571773
DS2,32,3.376303375,Sum of Totients between 1 and 30000 is 273571773
DS2,32,3.376901384,Sum of Totients between 1 and 30000 is 273571773
DS2,48,3.374534451,Sum of Totients between 1 and 30000 is 273571773
DS2,48,3.381291433,Sum of Totients between 1 and 30000 is 273571773
DS2,48,3.37474802,Sum of Totients between 1 and 30000 is 273571773
DS2,64,3.3769939,Sum of Totients between 1 and 30000 is 273571773
DS2,64,3.380906361,Sum of Totients between 1 and 30000 is 273571773
DS2,64,3.377058415,Sum of Totients between 1 and 30000 is 273571773
DS3,8,43.908420772,Sum of Totients between 1 and 60000 is 1094277505
DS3,8,43.906616341,Sum of Totients between 1 and 60000 is 1094277505
DS3,8,43.911602609,Sum of Totients between 1 and 60000 is 1094277505
DS3,16,22.039932287,Sum of Totients between 1 and 60000 is 1094277505
DS3,16,21.989646441,Sum of Totients between 1 and 60000 is 1094277505
DS3,16,22.003493661,Sum of Totients between 1 and 60000 is 1094277505
DS3,32,14.213648824,Sum of Totients between 1 and 60000 is 1094277505
DS3,32,14.205969226,Sum of Totients between 1 and 60000 is 1094277505
DS3,32,14.206003402,Sum of Totients between 1 and 60000 is 1094277505
DS3,64,14.198845107,Sum of Totients between 1 and 60000 is 1094277505
DS3,64,14.205873414,Sum of Totients between 1 and 60000 is 1094277505
DS3,64,14.205709568,Sum of Totients between 1 and 60000 is 1094277505
