dataset,threads,time,output
DS1,sequential,Elapsed time: 15.222714s,C: Sum of Totients  between [1..15000] is 68394315
DS1,sequential,Elapsed time: 15.219649s,C: Sum of Totients  between [1..15000] is 68394315
DS1,sequential,Elapsed time: 15.522108s,C: Sum of Totients  between [1..15000] is 68394315
DS1,1,15.18,C: Sum of Totients  between [1..15000] is 68394315
DS1,1,15.182,C: Sum of Totients  between [1..15000] is 68394315
DS1,1,15.175,C: Sum of Totients  between [1..15000] is 68394315
DS1,2,11.694,C: Sum of Totients  between [1..15000] is 68394315
DS1,2,11.668,C: Sum of Totients  between [1..15000] is 68394315
DS1,2,11.654,C: Sum of Totients  between [1..15000] is 68394315
DS1,4,7.032,C: Sum of Totients  between [1..15000] is 68394315
DS1,4,7.009,C: Sum of Totients  between [1..15000] is 68394315
DS1,4,7.022,C: Sum of Totients  between [1..15000] is 68394315
DS1,8,3.9,C: Sum of Totients  between [1..15000] is 68394315
DS1,8,3.911,C: Sum of Totients  between [1..15000] is 68394315
DS1,8,3.899,C: Sum of Totients  between [1..15000] is 68394315
DS1,12,2.741,C: Sum of Totients  between [1..15000] is 68394315
DS1,12,2.7,C: Sum of Totients  between [1..15000] is 68394315
DS1,12,2.688,C: Sum of Totients  between [1..15000] is 68394315
DS1,16,2.079,C: Sum of Totients  between [1..15000] is 68394315
DS1,16,2.279,C: Sum of Totients  between [1..15000] is 68394315
DS1,16,2.1,C: Sum of Totients  between [1..15000] is 68394315
DS1,24,1.429,C: Sum of Totients  between [1..15000] is 68394315
DS1,24,1.509,C: Sum of Totients  between [1..15000] is 68394315
DS1,24,1.432,C: Sum of Totients  between [1..15000] is 68394315
DS1,32,1.11,C: Sum of Totients  between [1..15000] is 68394315
DS1,32,1.076,C: Sum of Totients  between [1..15000] is 68394315
DS1,32,1.164,C: Sum of Totients  between [1..15000] is 68394315
DS1,48,0.873,C: Sum of Totients  between [1..15000] is 68394315
DS1,48,0.898,C: Sum of Totients  between [1..15000] is 68394315
DS1,48,0.938,C: Sum of Totients  between [1..15000] is 68394315
DS1,64,0.842,C: Sum of Totients  between [1..15000] is 68394315
DS1,64,0.811,C: Sum of Totients  between [1..15000] is 68394315
DS1,64,0.822,C: Sum of Totients  between [1..15000] is 68394315
DS2,sequential,Elapsed time: 65.678625s,C: Sum of Totients  between [1..30000] is 273571773
DS2,sequential,Elapsed time: 65.688663s,C: Sum of Totients  between [1..30000] is 273571773
DS2,sequential,Elapsed time: 67.366016s,C: Sum of Totients  between [1..30000] is 273571773
DS2,1,65.779,C: Sum of Totients  between [1..30000] is 273571773
DS2,1,71.705,C: Sum of Totients  between [1..30000] is 273571773
DS2,1,71.807,C: Sum of Totients  between [1..30000] is 273571773
DS2,2,57.769,C: Sum of Totients  between [1..30000] is 273571773
DS2,2,53.671,C: Sum of Totients  between [1..30000] is 273571773
DS2,2,55.978,C: Sum of Totients  between [1..30000] is 273571773
DS2,4,35.904,C: Sum of Totients  between [1..30000] is 273571773
DS2,4,31.284,C: Sum of Totients  between [1..30000] is 273571773
DS2,4,30.583,C: Sum of Totients  between [1..30000] is 273571773
DS2,8,16.717,C: Sum of Totients  between [1..30000] is 273571773
DS2,8,16.624,C: Sum of Totients  between [1..30000] is 273571773
DS2,8,16.716,C: Sum of Totients  between [1..30000] is 273571773
DS2,12,11.532,C: Sum of Totients  between [1..30000] is 273571773
DS2,12,11.547,C: Sum of Totients  between [1..30000] is 273571773
DS2,12,11.552,C: Sum of Totients  between [1..30000] is 273571773
DS2,16,8.859,C: Sum of Totients  between [1..30000] is 273571773
DS2,16,8.822,C: Sum of Totients  between [1..30000] is 273571773
DS2,16,8.817,C: Sum of Totients  between [1..30000] is 273571773
DS2,24,6.179,C: Sum of Totients  between [1..30000] is 273571773
DS2,24,6.334,C: Sum of Totients  between [1..30000] is 273571773
DS2,24,6.185,C: Sum of Totients  between [1..30000] is 273571773
DS2,32,4.692,C: Sum of Totients  between [1..30000] is 273571773
DS2,32,4.983,C: Sum of Totients  between [1..30000] is 273571773
DS2,32,4.855,C: Sum of Totients  between [1..30000] is 273571773
DS2,48,3.785,C: Sum of Totients  between [1..30000] is 273571773
DS2,48,3.966,C: Sum of Totients  between [1..30000] is 273571773
DS2,48,3.837,C: Sum of Totients  between [1..30000] is 273571773
DS2,64,3.429,C: Sum of Totients  between [1..30000] is 273571773
DS2,64,3.28,C: Sum of Totients  between [1..30000] is 273571773
DS2,64,3.497,C: Sum of Totients  between [1..30000] is 273571773
DS3,8,70.287,C: Sum of Totients  between [1..60000] is 1094277505
DS3,8,71.061,C: Sum of Totients  between [1..60000] is 1094277505
DS3,8,70.478,C: Sum of Totients  between [1..60000] is 1094277505
DS3,16,37.504,C: Sum of Totients  between [1..60000] is 1094277505
DS3,16,37.474,C: Sum of Totients  between [1..60000] is 1094277505
DS3,16,37.519,C: Sum of Totients  between [1..60000] is 1094277505
DS3,32,19.881,C: Sum of Totients  between [1..60000] is 1094277505
DS3,32,20.811,C: Sum of Totients  between [1..60000] is 1094277505
DS3,32,21.004,C: Sum of Totients  between [1..60000] is 1094277505
DS3,64,14.874,C: Sum of Totients  between [1..60000] is 1094277505
DS3,64,14.783,C: Sum of Totients  between [1..60000] is 1094277505
DS3,64,14.144,C: Sum of Totients  between [1..60000] is 1094277505
