dataset,threads,time,output
DS1,sequential,Elapsed time: 15.219318s,C: Sum of Totients  between [1..15000] is 68394315
DS1,sequential,Elapsed time: 15.215141s,C: Sum of Totients  between [1..15000] is 68394315
DS1,sequential,Elapsed time: 15.214569s,C: Sum of Totients  between [1..15000] is 68394315
DS1,1,15.173,C: Sum of Totients  between [1..15000] is 68394315
DS1,1,15.171,C: Sum of Totients  between [1..15000] is 68394315
DS1,1,15.170,C: Sum of Totients  between [1..15000] is 68394315
DS1,2,7.593,C: Sum of Totients  between [1..15000] is 68394315
DS1,2,7.591,C: Sum of Totients  between [1..15000] is 68394315
DS1,2,7.592,C: Sum of Totients  between [1..15000] is 68394315
DS1,4,3.974,C: Sum of Totients  between [1..15000] is 68394315
DS1,4,3.973,C: Sum of Totients  between [1..15000] is 68394315
DS1,4,3.972,C: Sum of Totients  between [1..15000] is 68394315
DS1,8,2.060,C: Sum of Totients  between [1..15000] is 68394315
DS1,8,2.060,C: Sum of Totients  between [1..15000] is 68394315
DS1,8,2.062,C: Sum of Totients  between [1..15000] is 68394315
DS1,12,1.377,C: Sum of Totients  between [1..15000] is 68394315
DS1,12,1.375,C: Sum of Totients  between [1..15000] is 68394315
DS1,12,1.376,C: Sum of Totients  between [1..15000] is 68394315
DS1,16,1.041,C: Sum of Totients  between [1..15000] is 68394315
DS1,16,1.050,C: Sum of Totients  between [1..15000] is 68394315
DS1,16,1.041,C: Sum of Totients  between [1..15000] is 68394315
DS1,24,0.795,C: Sum of Totients  between [1..15000] is 68394315
DS1,24,0.795,C: Sum of Totients  between [1..15000] is 68394315
DS1,24,0.795,C: Sum of Totients  between [1..15000] is 68394315
DS1,32,0.648,C: Sum of Totients  between [1..15000] is 68394315
DS1,32,0.649,C: Sum of Totients  between [1..15000] is 68394315
DS1,32,0.648,C: Sum of Totients  between [1..15000] is 68394315
DS1,48,0.686,C: Sum of Totients  between [1..15000] is 68394315
DS1,48,0.651,C: Sum of Totients  between [1..15000] is 68394315
DS1,48,0.649,C: Sum of Totients  between [1..15000] is 68394315
DS1,64,0.650,C: Sum of Totients  between [1..15000] is 68394315
DS1,64,0.653,C: Sum of Totients  between [1..15000] is 68394315
DS1,64,0.655,C: Sum of Totients  between [1..15000] is 68394315
DS2,sequential,Elapsed time: 65.281682s,C: Sum of Totients  between [1..30000] is 273571773
DS2,sequential,Elapsed time: 65.281377s,C: Sum of Totients  between [1..30000] is 273571773
DS2,sequential,Elapsed time: 65.362516s,C: Sum of Totients  between [1..30000] is 273571773
DS2,1,65.151,C: Sum of Totients  between [1..30000] is 273571773
DS2,1,65.072,C: Sum of Totients  between [1..30000] is 273571773
DS2,1,65.085,C: Sum of Totients  between [1..30000] is 273571773
DS2,2,32.561,C: Sum of Totients  between [1..30000] is 273571773
DS2,2,32.562,C: Sum of Totients  between [1..30000] is 273571773
DS2,2,32.562,C: Sum of Totients  between [1..30000] is 273571773
DS2,4,17.038,C: Sum of Totients  between [1..30000] is 273571773
DS2,4,16.964,C: Sum of Totients  between [1..30000] is 273571773
DS2,4,17.042,C: Sum of Totients  between [1..30000] is 273571773
DS2,8,8.839,C: Sum of Totients  between [1..30000] is 273571773
DS2,8,8.841,C: Sum of Totients  between [1..30000] is 273571773
DS2,8,8.837,C: Sum of Totients  between [1..30000] is 273571773
DS2,12,5.894,C: Sum of Totients  between [1..30000] is 273571773
DS2,12,5.894,C: Sum of Totients  between [1..30000] is 273571773
DS2,12,5.894,C: Sum of Totients  between [1..30000] is 273571773
DS2,16,4.430,C: Sum of Totients  between [1..30000] is 273571773
DS2,16,4.438,C: Sum of Totients  between [1..30000] is 273571773
DS2,16,4.426,C: Sum of Totients  between [1..30000] is 273571773
DS2,24,3.399,C: Sum of Totients  between [1..30000] is 273571773
DS2,24,3.399,C: Sum of Totients  between [1..30000] is 273571773
DS2,24,3.399,C: Sum of Totients  between [1..30000] is 273571773
DS2,32,2.765,C: Sum of Totients  between [1..30000] is 273571773
DS2,32,2.758,C: Sum of Totients  between [1..30000] is 273571773
DS2,32,2.760,C: Sum of Totients  between [1..30000] is 273571773
DS2,48,2.759,C: Sum of Totients  between [1..30000] is 273571773
DS2,48,2.763,C: Sum of Totients  between [1..30000] is 273571773
DS2,48,2.761,C: Sum of Totients  between [1..30000] is 273571773
DS2,64,2.760,C: Sum of Totients  between [1..30000] is 273571773
DS2,64,2.759,C: Sum of Totients  between [1..30000] is 273571773
DS2,64,2.761,C: Sum of Totients  between [1..30000] is 273571773
DS3,8,37.725,C: Sum of Totients  between [1..60000] is 1094277505
DS3,8,37.723,C: Sum of Totients  between [1..60000] is 1094277505
DS3,8,37.725,C: Sum of Totients  between [1..60000] is 1094277505
DS3,16,18.895,C: Sum of Totients  between [1..60000] is 1094277505
DS3,16,18.890,C: Sum of Totients  between [1..60000] is 1094277505
DS3,16,18.876,C: Sum of Totients  between [1..60000] is 1094277505
DS3,32,11.741,C: Sum of Totients  between [1..60000] is 1094277505
DS3,32,11.740,C: Sum of Totients  between [1..60000] is 1094277505
DS3,32,11.755,C: Sum of Totients  between [1..60000] is 1094277505
DS3,64,11.740,C: Sum of Totients  between [1..60000] is 1094277505
DS3,64,11.741,C: Sum of Totients  between [1..60000] is 1094277505
DS3,64,11.742,C: Sum of Totients  between [1..60000] is 1094277505
